asin,title,author,narrator,runtime_minutes,runtime_hours,price_usd,star_rating,review_count,value_score,cost_per_hour_usd,credit_worth_ratio,worth_using_credit,categories,cover_image_url,detail_page_url
PENDING_0002,I Claudius,Robert Graves,,1080,18.00,20.43,4.3,738,3.79,1.14,1.37,Yes,Historical Fiction | Classic | Fiction,,
B08G9PRS1K,Project Hail Mary,Andy Weir,Ray Porter,960,16.00,20.99,4.9,71200,3.74,1.31,1.40,Yes,Science Fiction | Adventure | Fiction,https://m.media-amazon.com/images/I/51POf8gOyLL._SL500_.jpg,https://www.amazon.com/dp/B08G9PRS1K
B07DHS7PP5,Ready Player One,Ernest Cline,Wil Wheaton,900,15.00,18.99,4.7,62400,3.71,1.27,1.27,Yes,Science Fiction | Cyberpunk | Fiction,https://m.media-amazon.com/images/I/31Dp7Y5crzL._SL500_.jpg,https://www.amazon.com/dp/B07DHS7PP5
B002V00YSK,The Book Thief,Markus Zusak,Allan Corduner,900,15.00,18.99,4.7,39600,3.71,1.27,1.27,Yes,Historical Fiction | Literary Fiction | Fiction,https://m.media-amazon.com/images/I/51Rs-tsiwBL._SL500_.jpg,https://www.amazon.com/dp/B002V00YSK
FINAL_0006,The Book of Joy,Dalai Lama,,1020,17.00,19.30,4.2,1204,3.70,1.14,1.29,Yes,Self-Help | Spirituality | Psychology,,
B01LBGCRPW,The Obelisk Gate,N.K. Jemisin,Robin Miles,960,16.00,19.99,4.6,13400,3.68,1.25,1.34,Yes,Fantasy | Science Fiction | Fiction,https://m.media-amazon.com/images/I/71Ta3JXr5yL._SL500_.jpg,https://www.amazon.com/dp/B01LBGCRPW
B002V0KFPW,A Short History of Nearly Everything,Bill Bryson,Bill Bryson,960,16.00,19.99,4.6,41700,3.68,1.25,1.34,Yes,Science | Non-Fiction | History,https://m.media-amazon.com/images/I/41C6x58eFwL._SL500_.jpg,https://www.amazon.com/dp/B002V0KFPW
PENDING_0006,Redshirts,John Scalzi,,1080,18.00,19.17,3.9,3483,3.66,1.07,1.28,Yes,Science Fiction | Humor | Fiction,,
B0055274U2,American Gods,Neil Gaiman,"Neil Gaiman, George Guidall",1140,19.00,22.99,4.4,34100,3.64,1.21,1.54,Yes,Fantasy | Mythology | Fiction,https://m.media-amazon.com/images/I/51LE+fvC0FL._SL500_.jpg,https://www.amazon.com/dp/B0055274U2
B0741G911Q,Sapiens: A Brief History of Humankind,Yuval Noah Harari,Derek Perkins,900,15.00,18.99,4.6,53400,3.63,1.27,1.27,Yes,History | Non-Fiction | Science,https://m.media-amazon.com/images/I/41HWFhtig3L._SL500_.jpg,https://www.amazon.com/dp/B0741G911Q
B004QDTA9Y,The Selfish Gene,Richard Dawkins,"Richard Dawkins, Lalla Ward",960,16.00,19.99,4.5,18600,3.60,1.25,1.34,Yes,Science | Non-Fiction,https://m.media-amazon.com/images/I/51iqpxo43PL._SL500_.jpg,https://www.amazon.com/dp/B004QDTA9Y
B07KRNNLFF,"The Black Swan, Second Edition: The Impact of the Highly Improbable: With a new section: ""On Robustness and Fragility""",Nassim Nicholas Taleb,Joe Ochman,948,15.80,19.78,4.5,137,3.59,1.25,1.32,Yes,Non-Fiction | Economics | Business,https://m.media-amazon.com/images/I/4175QzgAz0L._SL500_.jpg,https://www.amazon.com/dp/B07KRNNLFF
B071Y9TTHC,Children of Time,Adrian Tchaikovsky,Mel Hudson,900,15.00,18.99,4.5,21400,3.55,1.27,1.27,Yes,Science Fiction | Fiction,https://m.media-amazon.com/images/I/51tuexbxdIL._SL500_.jpg,https://www.amazon.com/dp/B071Y9TTHC
1549102567,The Fifth Season,N.K. Jemisin,Robin Miles,900,15.00,18.99,4.5,19800,3.55,1.27,1.27,Yes,Fantasy | Science Fiction | Fiction,https://m.media-amazon.com/images/I/61cBb0Zra4L._SL500_.jpg,https://www.amazon.com/dp/1549102567
B00K8F589A,Big Little Lies,Liane Moriarty,Caroline Lee,900,15.00,18.99,4.5,31800,3.55,1.27,1.27,Yes,Mystery | Literary Fiction | Fiction,https://m.media-amazon.com/images/I/51XeHS37PBL._SL500_.jpg,https://www.amazon.com/dp/B00K8F589A
B0G5SMXT5S,Assassin’s Apprentice,Robin Hobb,Joe Eyre,995,16.58,23.42,5.0,2,3.54,1.41,1.57,Yes,Fantasy | Epic Fantasy | Fiction,https://m.media-amazon.com/images/I/51xcKNHBEvL._SL500_.jpg,https://www.amazon.com/dp/B0G5SMXT5S
B002UZJJHI,The Poisonwood Bible,Barbara Kingsolver,Dean Robertson,934,15.57,19.78,4.5,1450,3.54,1.27,1.32,Yes,Literary Fiction | Historical Fiction | Fiction,https://m.media-amazon.com/images/I/51rVb+VjN-L._SL500_.jpg,https://www.amazon.com/dp/B002UZJJHI
B002V0QUJC,The Shadow of the Wind,Carlos Ruiz Zafón,Jonathan Davis,1080,18.00,22.99,4.5,18900,3.52,1.28,1.54,Yes,Literary Fiction | Mystery | Fiction,https://m.media-amazon.com/images/I/51TEkM+zRKL._SL500_.jpg,https://www.amazon.com/dp/B002V0QUJC
